reds,delta_mu
0.01791,0.02310519421747606
0.01796,0.03027217879463676
0.01925,0.04706457847785858
0.01925,0.04706457847785858
0.01851,0.058547330765933055
0.01851,0.058547330765933055
0.01902,-0.0122225929039755
0.01822,0.008216474160556276
0.01822,0.008216474160556276
0.01839,-0.009504291007392595
0.01955,0.025089265052784738
0.01955,0.025089265052784738
0.01835,0.012687734916164888
0.01835,0.012687734916164888
0.01992,0.004103421044796748
0.01855,0.012436808649262172
0.01948,0.0029670770246771985
0.01976,0.04478847340225833
0.02033,0.015095119036262785
0.02033,0.015095119036262785
0.01926,0.0386790756735402
0.01926,0.0386790756735402
0.01926,0.0386790756735402
0.01926,0.0386790756735402
0.0187,0.014038994087487528
0.02019,-0.007699610187296098
0.02019,-0.007699610187296098
0.02066,0.007204970991948693
0.02066,0.007204970991948693
0.02066,0.007204970991948693
0.02121,0.033037542986010034
0.01983,-0.007941697295323345
0.02039,0.05337954015341897
0.02061,0.0441891371357538
0.02014,0.03115757840772299
0.02079,0.03384033926634224
0.02087,-0.0014598907544447898
0.02087,-0.0014598907544447898
0.02046,0.03476710537598015
0.02001,0.007280181964953619
0.01993,0.014959859188800112
0.02093,0.027862962897967643
0.02207,0.03452126893352717
0.02146,0.009886039890917013
0.02146,0.009886039890917013
0.02187,0.01961575759137727
0.02187,0.01961575759137727
0.02187,0.01961575759137727
0.01978,0.009728446869125535
0.02179,0.0465316514880625
0.02017,0.03861849235389556
0.02104,-0.008112562873468367
0.02157,0.03684439170313262
0.0214,0.03850037288354201
0.0214,0.03850037288354201
0.02263,0.04128884106861872
0.02245,0.024614437654066814
0.02193,0.030219845640531148
0.02209,0.01577399136774085
0.02202,0.04516535980830023
